epoch,background_precision,background_recall,boundary_precision,boundary_recall,categorical_accuracy,interior_precision,interior_recall,loss,val_background_precision,val_background_recall,val_boundary_precision,val_boundary_recall,val_categorical_accuracy,val_interior_precision,val_interior_recall,val_loss
0,0.9972254633903503,0.9610032439231873,0.49508199095726013,0.9492320418357849,0.9441424608230591,0.9772576689720154,0.8689222931861877,0.2533034086227417,0.9987495541572571,0.9681355357170105,0.5310215950012207,0.9528548121452332,0.9580206274986267,0.9857940673828125,0.9106553792953491,0.20546524226665497
1,0.9979771971702576,0.9731435179710388,0.5389128923416138,0.9522701501846313,0.9562809467315674,0.9918727278709412,0.8837829232215881,0.18379168212413788,0.9989562034606934,0.9745386838912964,0.5517358183860779,0.9630717039108276,0.9622201323509216,0.9902583956718445,0.9020039439201355,0.15367230772972107
2,0.9981957077980042,0.9736675024032593,0.545409083366394,0.9555057883262634,0.9575191140174866,0.992797315120697,0.8872507810592651,0.17217281460762024,0.9989337921142578,0.9702537655830383,0.5475324392318726,0.9475164413452148,0.9610925316810608,0.986047089099884,0.9192222356796265,0.16999521851539612
3,0.9982630610466003,0.9734563231468201,0.5488263964653015,0.9573202133178711,0.9575623869895935,0.993363618850708,0.8886487483978271,0.1683439165353775,0.9982943534851074,0.9794636964797974,0.5609199404716492,0.9601774215698242,0.9627212285995483,0.9924241304397583,0.8835715055465698,0.15039440989494324
4,0.9983572959899902,0.9740716814994812,0.5491415858268738,0.9582576751708984,0.9584420919418335,0.9935198426246643,0.8890555500984192,0.16320616006851196,0.999300479888916,0.9724725484848022,0.5574113726615906,0.9570044279098511,0.965413510799408,0.9853102564811707,0.9301462173461914,0.14661173522472382
5,0.9984380006790161,0.974822461605072,0.5545901656150818,0.9593577980995178,0.9594628810882568,0.9937310218811035,0.8907837271690369,0.1585754156112671,0.9992885589599609,0.9650974273681641,0.5327533483505249,0.9544285535812378,0.9583410620689392,0.9846130609512329,0.9262195825576782,0.17020568251609802
6,0.998454749584198,0.9745582342147827,0.5551170706748962,0.9602380990982056,0.9593192338943481,0.9938393235206604,0.8911590576171875,0.15716427564620972,0.9985911250114441,0.9778224229812622,0.5628267526626587,0.9509608149528503,0.9651458859443665,0.9899795651435852,0.9029229879379272,0.14866112172603607
7,0.9984959959983826,0.9741167426109314,0.5547120571136475,0.961115300655365,0.9588338732719421,0.9941011667251587,0.8910159468650818,0.15782931447029114,0.9983360171318054,0.981677234172821,0.5737845301628113,0.9581655263900757,0.966042160987854,0.994464099407196,0.8898124694824219,0.14213046431541443
8,0.9985191822052002,0.9743548035621643,0.5569316148757935,0.9615558385848999,0.9592368006706238,0.9941394329071045,0.8918519616127014,0.1558990776538849,0.9992863535881042,0.9692376852035522,0.5265734195709229,0.9713746905326843,0.9575698971748352,0.9905079007148743,0.8984575271606445,0.15097349882125854
9,0.9985646605491638,0.9751527905464172,0.5582370758056641,0.9618877172470093,0.9603880047798157,0.9941661953926086,0.8929814696311951,0.15137746930122375,0.9985965490341187,0.9790277481079102,0.56037837266922,0.9567866325378418,0.9651196002960205,0.988562285900116,0.8950008153915405,0.1442762315273285
10,0.9985178112983704,0.9743360877037048,0.5564658641815186,0.9618449807167053,0.9593974351882935,0.9943455457687378,0.8926919102668762,0.15429843962192535,0.9992924928665161,0.9657872915267944,0.5261143445968628,0.9643841981887817,0.957004725933075,0.9895698428153992,0.9107252955436707,0.1592339277267456
11,0.9985820055007935,0.9750828146934509,0.5596192479133606,0.9626038670539856,0.9603084921836853,0.9944604635238647,0.8933603167533875,0.15061664581298828,0.9993950128555298,0.971498966217041,0.5588353872299194,0.9589756727218628,0.9641943573951721,0.9858158230781555,0.9282447099685669,0.14452232420444489
12,0.9986199736595154,0.9753407835960388,0.5625182390213013,0.9631575345993042,0.960738480091095,0.994453489780426,0.8944523334503174,0.14884671568870544,0.9989794492721558,0.9752273559570312,0.5622269511222839,0.9660966992378235,0.9628039598464966,0.9897491335868835,0.902233898639679,0.14309470355510712
13,0.9985805153846741,0.9747830629348755,0.561652660369873,0.9631012678146362,0.9601139426231384,0.9945732355117798,0.8945005536079407,0.1507997363805771,0.9988196492195129,0.975988507270813,0.5628153085708618,0.9625417590141296,0.9634088277816772,0.9904120564460754,0.900823712348938,0.14446991682052612
14,0.9986205697059631,0.9749124050140381,0.5623707175254822,0.9636071920394897,0.9602543711662292,0.9945376515388489,0.894382119178772,0.1499924659729004,0.9985748529434204,0.9708026647567749,0.5403445959091187,0.958842933177948,0.9570483565330505,0.9860954284667969,0.8950350880622864,0.17234939336776733
